type,上海,北京,杭州,宁波,保定,南京,苏州,深圳,厦门,广州,date
AQI,42.208333333333336,65.16666666666667,33.916666666666664,45.41666666666666,65.20833333333333,29.95833333333333,36.458333333333336,27.04166666666667,37.75,27.75,2019-05-26
NO2,16.833333333333332,24.875,21.5,9.833333333333334,21.375,18.25,22.75,19.916666666666668,21.58333333333333,30.08333333333333,2019-05-26
PM2.5,20.625,36.625,19.416666666666668,17.333333333333332,37.5,10.125,24.33333333333333,14.708333333333336,21.166666666666668,10.416666666666666,2019-05-26
AQI,42.81818181818182,53.95454545454545,56.86363636363637,40.36363636363637,73.4090909090909,58.31818181818182,53.90909090909091,45.0,46.13636363636363,47.40909090909091,2019-09-17
NO2,22.09090909090909,28.681818181818183,30.318181818181817,21.681818181818183,28.681818181818183,32.22727272727273,25.863636363636363,27.22727272727273,10.772727272727273,38.81818181818182,2019-09-17
PM2.5,22.272727272727273,28.72727272727273,27.272727272727273,18.727272727272727,45.72727272727273,26.45454545454545,28.45454545454545,25.63636363636364,19.227272727272727,27.13636363636364,2019-09-17
AQI,37.27272727272727,99.45454545454544,37.45454545454545,29.0,81.0909090909091,24.90909090909091,45.54545454545455,28.72727272727273,29.272727272727273,23.90909090909091,2019-09-03
NO2,60.27272727272727,26.0,45.0,29.363636363636363,28.818181818181817,30.181818181818183,58.45454545454545,21.09090909090909,13.818181818181818,22.181818181818183,2019-09-03
PM2.5,22.09090909090909,44.09090909090909,22.09090909090909,11.454545454545455,35.54545454545455,12.909090909090908,29.72727272727273,14.090909090909092,10.909090909090908,14.0,2019-09-03
AQI,37.208333333333336,51.41666666666666,40.04166666666666,19.70833333333333,45.83333333333334,41.91666666666666,44.625,17.791666666666668,31.33333333333333,20.58333333333333,2019-07-30
NO2,23.375,18.916666666666668,20.58333333333333,10.75,14.791666666666664,30.375,25.83333333333333,12.458333333333336,20.83333333333333,22.45833333333333,2019-07-30
PM2.5,16.375,26.95833333333333,18.541666666666668,7.458333333333332,21.83333333333333,16.708333333333332,18.95833333333333,6.541666666666668,16.708333333333332,8.125,2019-07-30
AQI,49.54166666666666,61.0,41.04166666666666,33.541666666666664,69.70833333333333,42.79166666666666,44.33333333333334,22.70833333333333,27.58333333333333,32.5,2019-07-24
NO2,40.25,27.0,24.125,20.791666666666668,20.625,24.08333333333333,25.125,16.375,13.041666666666664,37.458333333333336,2019-07-24
PM2.5,31.125,33.583333333333336,19.625,17.25,32.75,21.45833333333333,22.83333333333333,10.166666666666666,16.541666666666668,16.25,2019-07-24
AQI,21.63636363636364,90.72727272727272,29.318181818181817,20.045454545454547,87.18181818181819,53.86363636363637,27.363636363636363,70.63636363636364,22.045454545454547,56.54545454545455,2019-07-18
NO2,20.363636363636363,23.59090909090909,14.681818181818182,18.363636363636363,21.863636363636363,27.04545454545455,21.454545454545453,38.31818181818182,11.0,38.40909090909091,2019-07-18
PM2.5,10.272727272727273,67.95454545454545,12.727272727272727,8.727272727272727,58.59090909090909,33.13636363636363,10.409090909090908,42.95454545454545,9.863636363636363,35.18181818181818,2019-07-18
AQI,110.04166666666669,60.875,92.75,97.04166666666669,130.79166666666666,114.83333333333331,117.75,81.41666666666667,65.5,91.0,2019-01-22
NO2,84.54166666666667,48.58333333333334,49.125,63.29166666666666,71.54166666666667,68.58333333333333,64.0,25.5,25.25,37.958333333333336,2019-01-22
PM2.5,82.16666666666667,26.91666666666667,68.58333333333333,71.91666666666667,94.5,85.29166666666667,88.125,59.5,45.875,66.91666666666667,2019-01-22
AQI,104.125,102.875,90.75,70.0,104.5,91.20833333333331,105.0,71.25,42.125,66.5,2019-12-28
NO2,68.95833333333333,71.16666666666667,61.66666666666666,48.04166666666666,83.625,67.20833333333333,67.5,48.66666666666666,20.58333333333333,65.5,2019-12-28
PM2.5,77.95833333333333,74.16666666666667,65.70833333333333,48.875,74.91666666666667,67.75,81.54166666666667,46.83333333333334,23.91666666666667,45.16666666666666,2019-12-28
AQI,81.58333333333333,28.66666666666667,120.16666666666669,84.04166666666667,71.58333333333333,102.41666666666669,108.375,63.45833333333334,57.16666666666666,106.08333333333331,2019-12-14
NO2,69.54166666666667,42.0,83.79166666666667,72.375,59.625,56.91666666666666,73.04166666666667,42.083333333333336,34.041666666666664,116.16666666666669,2019-12-14
PM2.5,59.25,13.166666666666664,87.08333333333331,58.875,49.04166666666666,74.5,78.625,37.708333333333336,34.25,74.375,2019-12-14
AQI,57.125,93.375,57.08333333333334,53.75,76.70833333333333,51.5,52.95833333333334,51.33333333333334,63.625,52.29166666666666,2019-03-20
NO2,42.29166666666666,38.25,37.16666666666666,20.875,19.70833333333333,31.125,34.916666666666664,21.875,40.125,49.45833333333334,2019-03-20
PM2.5,29.79166666666667,65.54166666666667,29.66666666666667,21.5,52.875,33.166666666666664,31.875,34.75,42.54166666666666,25.08333333333333,2019-03-20
AQI,13.0,72.66666666666667,18.25,13.833333333333336,78.5,38.66666666666666,14.416666666666664,70.25,66.66666666666667,81.25,2019-10-02
NO2,11.0,21.83333333333333,12.083333333333336,11.0,43.83333333333334,15.5,11.5,19.83333333333333,15.666666666666664,40.5,2019-10-02
PM2.5,5.333333333333333,53.0,11.166666666666664,5.916666666666668,53.16666666666666,24.75,6.75,50.75,48.33333333333334,59.58333333333334,2019-10-02
AQI,42.54166666666666,81.79166666666667,51.95833333333334,40.583333333333336,89.25,57.79166666666666,44.66666666666666,30.79166666666667,49.58333333333334,21.041666666666668,2019-03-08
NO2,40.16666666666666,55.70833333333334,36.41666666666666,32.708333333333336,42.0,36.958333333333336,37.5,21.45833333333333,19.0,37.958333333333336,2019-03-08
PM2.5,18.95833333333333,56.375,27.875,17.666666666666668,61.95833333333334,27.33333333333333,19.58333333333333,16.916666666666668,18.291666666666668,10.875,2019-03-08
AQI,36.625,44.41666666666666,47.04166666666666,35.625,57.875,37.0,36.125,46.0,41.04166666666666,45.95833333333334,2019-10-16
NO2,38.875,44.54166666666666,45.625,31.20833333333333,43.79166666666666,39.66666666666666,36.5,21.125,11.541666666666664,30.33333333333333,2019-10-16
PM2.5,16.75,26.41666666666667,20.5,16.166666666666668,37.583333333333336,11.75,15.875,21.416666666666668,19.0,29.5,2019-10-16
AQI,37.875,73.29166666666667,53.45833333333334,43.95833333333334,76.25,44.45833333333334,43.375,52.25,38.16666666666666,48.16666666666666,2019-10-17
NO2,39.583333333333336,50.41666666666666,48.29166666666666,35.583333333333336,37.75,41.375,42.583333333333336,25.08333333333333,11.75,31.08333333333333,2019-10-17
PM2.5,21.20833333333333,53.0,29.625,26.66666666666667,55.79166666666666,21.91666666666667,24.125,31.25,17.375,29.83333333333333,2019-10-17
AQI,48.125,111.25,63.16666666666666,51.66666666666666,86.95833333333331,74.0,72.08333333333333,32.083333333333336,30.91666666666667,21.95833333333333,2019-03-09
NO2,75.29166666666667,60.375,50.125,47.625,42.95833333333334,50.375,52.95833333333334,30.20833333333333,35.833333333333336,42.083333333333336,2019-03-09
PM2.5,30.66666666666667,83.16666666666667,43.125,34.291666666666664,63.5,48.66666666666666,51.83333333333334,19.291666666666668,13.416666666666664,9.375,2019-03-09
AQI,32.714285714285715,90.57142857142857,59.714285714285715,28.142857142857146,95.35714285714286,57.92857142857143,47.07142857142857,43.57142857142857,61.28571428571429,57.92857142857143,2019-10-03
NO2,31.285714285714285,18.142857142857142,28.0,20.714285714285715,27.785714285714285,27.07142857142857,33.785714285714285,17.0,8.0,21.142857142857142,2019-10-03
PM2.5,19.142857142857142,55.714285714285715,35.714285714285715,15.428571428571427,47.64285714285714,30.57142857142857,28.857142857142854,28.07142857142857,43.5,33.57142857142857,2019-10-03
AQI,77.65217391304348,38.39130434782609,56.17391304347826,51.43478260869565,47.0,81.08695652173913,90.56521739130434,37.869565217391305,56.65217391304348,44.43478260869565,2019-03-21
NO2,36.39130434782609,8.782608695652174,36.95652173913044,37.17391304347826,11.695652173913045,34.43478260869565,42.91304347826087,23.91304347826087,34.08695652173913,40.95652173913044,2019-03-21
PM2.5,55.26086956521739,5.913043478260869,36.130434782608695,31.347826086956523,15.652173913043477,53.56521739130435,65.69565217391305,24.608695652173914,36.82608695652174,21.82608695652174,2019-03-21
AQI,33.208333333333336,67.875,83.875,63.79166666666666,96.45833333333331,56.33333333333334,46.125,51.45833333333334,42.54166666666666,78.70833333333333,2019-12-15
NO2,43.58333333333334,67.16666666666667,56.41666666666666,50.70833333333334,70.79166666666667,43.625,45.16666666666666,26.41666666666667,23.125,87.33333333333331,2019-12-15
PM2.5,17.666666666666668,47.70833333333334,55.95833333333334,40.708333333333336,71.33333333333333,30.625,23.66666666666667,28.54166666666667,22.95833333333333,51.625,2019-12-15
AQI,39.5,30.29166666666667,37.04166666666666,34.0,133.375,51.20833333333334,48.83333333333334,64.70833333333333,51.83333333333334,63.91666666666666,2019-12-01
NO2,42.79166666666666,16.291666666666668,37.16666666666666,45.875,50.83333333333334,40.0,41.5,43.29166666666666,36.208333333333336,53.45833333333334,2019-12-01
PM2.5,26.29166666666667,11.375,22.83333333333333,19.0,100.20833333333331,35.708333333333336,34.083333333333336,40.54166666666666,35.333333333333336,38.54166666666666,2019-12-01
AQI,60.04166666666666,128.125,84.5,48.29166666666666,152.41666666666666,90.5,83.375,87.58333333333331,58.625,92.25,2019-12-29
NO2,64.16666666666667,57.29166666666666,67.45833333333333,45.20833333333334,92.5,69.16666666666667,60.16666666666666,66.45833333333333,53.625,98.0,2019-12-29
PM2.5,42.66666666666666,92.58333333333331,60.375,30.95833333333333,114.95833333333331,67.70833333333333,61.16666666666666,63.08333333333334,41.375,65.75,2019-12-29
AQI,124.70833333333331,47.79166666666666,95.79166666666669,116.25,106.75,114.91666666666669,120.0,70.66666666666667,63.54166666666666,68.58333333333333,2019-01-23
NO2,103.91666666666669,44.91666666666666,58.54166666666666,71.875,69.29166666666667,85.54166666666667,80.54166666666667,36.625,19.916666666666668,60.33333333333334,2019-01-23
PM2.5,93.70833333333331,22.29166666666667,70.95833333333333,87.33333333333331,77.66666666666667,86.125,90.375,50.66666666666666,44.08333333333334,48.79166666666666,2019-01-23
AQI,18.75,79.25,26.5,22.375,101.58333333333331,21.33333333333333,24.41666666666667,40.458333333333336,39.083333333333336,48.125,2019-07-19
NO2,20.541666666666668,28.875,16.208333333333332,19.875,30.79166666666667,20.08333333333333,19.08333333333333,45.58333333333334,19.20833333333333,46.0,2019-07-19
PM2.5,9.416666666666666,58.25,11.875,9.583333333333334,69.25,9.75,10.958333333333336,24.875,23.125,28.29166666666667,2019-07-19
AQI,54.41666666666666,61.75,39.54166666666666,42.5,63.0,41.833333333333336,48.125,21.125,26.41666666666667,36.083333333333336,2019-07-25
NO2,43.95833333333334,29.83333333333333,25.5,26.54166666666667,17.625,32.166666666666664,22.83333333333333,17.708333333333332,14.916666666666664,31.04166666666667,2019-07-25
PM2.5,36.0,24.25,18.791666666666668,23.70833333333333,24.45833333333333,18.5,26.5,9.958333333333334,14.875,15.333333333333336,2019-07-25
AQI,27.54166666666667,60.875,36.66666666666666,16.083333333333332,67.54166666666667,53.79166666666666,47.0,15.666666666666664,37.375,18.666666666666668,2019-07-31
NO2,21.20833333333333,26.79166666666667,20.416666666666668,10.541666666666666,17.875,35.875,26.875,9.958333333333334,18.20833333333333,21.375,2019-07-31
PM2.5,12.583333333333336,21.54166666666667,13.75,6.666666666666668,38.29166666666666,19.791666666666668,17.958333333333332,4.875,21.66666666666667,8.333333333333334,2019-07-31
AQI,23.95833333333333,65.04166666666667,23.29166666666667,20.625,81.79166666666667,30.375,24.95833333333333,16.541666666666668,30.08333333333333,16.0,2019-09-02
NO2,31.29166666666667,32.5,33.166666666666664,31.79166666666667,40.958333333333336,33.083333333333336,35.5,14.25,19.125,21.33333333333333,2019-09-02
PM2.5,8.916666666666666,24.66666666666667,9.333333333333334,9.958333333333334,37.04166666666666,15.958333333333336,10.708333333333334,7.916666666666668,14.75,7.083333333333332,2019-09-02
AQI,36.56521739130435,42.95652173913044,47.17391304347826,34.04347826086956,56.73913043478261,44.26086956521739,40.0,39.30434782608695,41.69565217391305,43.1304347826087,2019-09-16
NO2,22.608695652173914,27.47826086956522,24.956521739130434,21.0,25.695652173913047,33.17391304347826,25.17391304347826,24.73913043478261,12.695652173913045,38.43478260869565,2019-09-16
PM2.5,14.956521739130435,17.17391304347826,17.08695652173913,8.826086956521738,31.30434782608696,18.65217391304348,16.304347826086953,21.56521739130435,23.782608695652176,22.52173913043478,2019-09-16
AQI,50.25,44.66666666666666,36.5,45.66666666666666,47.625,43.375,42.5,26.08333333333333,25.375,29.45833333333333,2019-05-27
NO2,20.83333333333333,10.916666666666664,18.125,21.20833333333333,13.0,29.66666666666667,21.79166666666667,28.5,22.5,36.75,2019-05-27
PM2.5,27.79166666666667,5.291666666666667,16.166666666666668,24.04166666666667,10.958333333333336,15.166666666666664,21.95833333333333,14.291666666666664,12.416666666666664,11.541666666666664,2019-05-27
AQI,55.875,115.70833333333331,50.95833333333334,53.625,118.0,71.125,56.0,38.458333333333336,53.33333333333334,36.875,2019-05-25
NO2,16.666666666666668,40.958333333333336,26.58333333333333,8.333333333333334,34.041666666666664,35.541666666666664,29.41666666666667,14.208333333333336,32.5,33.458333333333336,2019-05-25
PM2.5,23.125,47.04166666666666,25.625,19.08333333333333,45.04166666666666,47.33333333333334,29.54166666666667,19.45833333333333,34.958333333333336,18.166666666666668,2019-05-25
AQI,85.55,37.05,67.05,59.55,52.85,64.5,93.1,35.35,48.35,43.35,2019-05-31
NO2,42.6,21.8,34.9,31.65,23.65,29.35,51.85,19.75,22.5,45.8,2019-05-31
PM2.5,61.2,9.4,42.4,35.2,13.95,34.2,60.5,19.8,25.2,21.7,2019-05-31
AQI,77.83333333333333,64.29166666666667,64.79166666666667,54.45833333333334,70.20833333333333,40.41666666666666,65.33333333333333,39.625,39.41666666666666,47.54166666666666,2019-05-19
NO2,43.83333333333334,14.375,43.875,37.458333333333336,12.5,21.416666666666668,29.45833333333333,16.5,12.5,23.04166666666667,2019-05-19
PM2.5,56.58333333333334,30.33333333333333,43.41666666666666,33.041666666666664,24.75,19.375,41.29166666666666,20.041666666666668,22.0,19.291666666666668,2019-05-19
AQI,52.9,82.3,69.45,51.3,71.3,69.9,50.45,72.95,38.05,81.15,2019-09-28
NO2,37.9,30.8,55.4,44.25,48.0,51.3,38.75,27.4,12.3,59.75,2019-09-28
PM2.5,36.4,56.7,39.0,31.55,40.05,36.2,31.35,43.25,21.8,50.15,2019-09-28
AQI,29.73913043478261,29.217391304347824,37.30434782608695,31.17391304347826,39.60869565217392,56.17391304347826,39.30434782608695,28.04347826086957,41.08695652173913,32.26086956521739,2019-09-14
NO2,24.43478260869565,25.17391304347826,18.82608695652174,22.043478260869566,25.04347826086957,37.130434782608695,26.91304347826087,17.0,10.608695652173912,29.130434782608692,2019-09-14
PM2.5,15.173913043478262,10.91304347826087,18.65217391304348,12.608695652173912,19.47826086956522,35.04347826086956,19.47826086956522,15.695652173913045,25.26086956521739,17.956521739130434,2019-09-14
AQI,55.66666666666666,126.91666666666669,46.625,37.583333333333336,81.0,48.41666666666666,57.25,23.79166666666667,42.25,38.458333333333336,2019-07-27
NO2,41.583333333333336,26.375,26.25,19.83333333333333,25.79166666666667,33.125,42.375,19.666666666666668,28.0,26.08333333333333,2019-07-27
PM2.5,35.916666666666664,84.16666666666667,24.16666666666667,22.16666666666667,46.875,23.54166666666667,33.208333333333336,10.583333333333334,23.5,17.166666666666668,2019-07-27
AQI,61.875,53.91666666666666,73.125,51.08333333333334,77.0,105.66666666666669,72.70833333333333,50.0,69.875,45.5,2019-01-21
NO2,66.08333333333333,41.333333333333336,47.375,42.208333333333336,54.375,66.95833333333333,54.29166666666666,21.95833333333333,20.08333333333333,27.58333333333333,2019-01-21
PM2.5,43.08333333333334,22.54166666666667,52.5,31.16666666666667,49.91666666666666,76.41666666666667,50.25,31.66666666666667,49.79166666666666,30.83333333333333,2019-01-21
AQI,102.29166666666669,24.33333333333333,85.5,85.16666666666667,83.125,77.45833333333333,119.95833333333331,47.29166666666666,72.79166666666667,67.33333333333333,2019-12-17
NO2,61.375,14.25,51.70833333333334,60.41666666666666,43.66666666666666,45.20833333333334,57.25,47.45833333333334,59.41666666666666,89.54166666666669,2019-12-17
PM2.5,76.25,11.166666666666664,60.29166666666666,60.45833333333334,59.83333333333334,56.625,90.08333333333331,26.58333333333333,52.58333333333334,35.458333333333336,2019-12-17
AQI,36.208333333333336,59.70833333333334,66.5,49.66666666666666,118.0,48.29166666666666,46.25,53.25,31.5,40.208333333333336,2019-01-09
NO2,42.708333333333336,55.83333333333334,51.41666666666666,49.91666666666666,61.20833333333334,49.04166666666666,46.33333333333334,31.79166666666667,19.45833333333333,40.583333333333336,2019-01-09
PM2.5,23.54166666666667,37.708333333333336,47.875,34.875,87.45833333333331,32.75,29.66666666666667,30.20833333333333,13.375,27.5,2019-01-09
AQI,107.69565217391305,40.47826086956522,101.04347826086956,122.08695652173913,51.52173913043478,129.2608695652174,133.52173913043478,58.52173913043478,47.08695652173913,51.43478260869565,2019-12-03
NO2,87.3913043478261,35.43478260869565,59.0,63.78260869565217,44.0,73.91304347826087,70.91304347826087,25.956521739130434,12.434782608695652,29.608695652173914,2019-12-03
PM2.5,82.69565217391305,14.217391304347824,74.43478260869566,92.04347826086956,25.73913043478261,95.1304347826087,101.04347826086956,34.91304347826087,28.91304347826087,30.956521739130434,2019-12-03
AQI,150.0,61.79166666666666,74.25,82.5,85.375,259.5416666666667,127.95833333333331,36.41666666666666,31.91666666666667,37.16666666666666,2019-10-29
NO2,70.79166666666667,51.04166666666666,44.625,58.25,53.29166666666666,83.83333333333333,74.66666666666667,31.5,18.20833333333333,33.166666666666664,2019-10-29
PM2.5,72.83333333333333,30.375,33.125,40.583333333333336,35.375,89.20833333333331,60.25,16.375,13.208333333333336,17.458333333333332,2019-10-29
AQI,49.08333333333334,41.79166666666666,45.54166666666666,45.04166666666666,46.58333333333334,51.45833333333334,48.70833333333334,31.33333333333333,39.083333333333336,30.5,2019-03-23
NO2,35.208333333333336,11.583333333333336,35.375,32.583333333333336,11.541666666666664,42.5,38.79166666666666,21.25,21.58333333333333,30.16666666666667,2019-03-23
PM2.5,25.08333333333333,10.125,26.75,15.75,14.875,26.54166666666667,27.375,17.375,13.333333333333336,16.833333333333332,2019-03-23
AQI,29.58333333333333,33.0,36.79166666666666,27.375,58.20833333333334,32.291666666666664,31.04166666666667,45.125,38.29166666666666,47.125,2019-10-15
NO2,22.66666666666667,37.333333333333336,28.58333333333333,18.45833333333333,42.708333333333336,28.58333333333333,25.75,18.916666666666668,11.125,26.0,2019-10-15
PM2.5,10.041666666666666,16.125,12.083333333333336,6.708333333333332,36.083333333333336,10.791666666666664,10.75,26.83333333333333,14.625,31.875,2019-10-15
AQI,20.83333333333333,74.83333333333333,29.75,18.33333333333333,69.375,54.41666666666666,30.91666666666667,96.25,29.83333333333333,92.66666666666669,2019-10-01
